BIAF01,BIAF02,BIAF03,BIAF04,BIAF05,BIAF06,BIAF07,BIAF08,BIAF09,BIAF10_01,BIAF10_02,BIAF10_03,BIAF10_04,NIVEL_ACTIVIDAD_FISICA
8,,2,120.0,8,,240,,2.0,2.0,2.0,2.0,1.0,3.0
5,600.0,8,,8,,240,,1.0,2.0,2.0,2.0,1.0,1.0
8,,8,,6,360.0,120,,2.0,2.0,1.0,2.0,2.0,2.0
2,120.0,8,,7,420.0,180,,1.0,2.0,2.0,2.0,1.0,2.0
8,,8,,7,420.0,240,,9.0,2.0,2.0,1.0,2.0,2.0
2,120.0,8,,3,180.0,420,,2.0,2.0,2.0,2.0,1.0,2.0
8,,8,,8,,120,1.0,,,,,,3.0
8,,8,,8,,240,9.0,,,,,,3.0
8,,8,,8,,9999,1.0,,,,,,3.0
8,,8,,8,,180,8.0,,,,,,3.0
8,,3,90.0,3,90.0,150,,2.0,1.0,2.0,1.0,2.0,2.0
8,,8,,3,240.0,240,,2.0,2.0,1.0,1.0,2.0,3.0
8,,8,,6,180.0,600,,6.0,1.0,1.0,1.0,1.0,2.0
8,,8,,8,,420,5.0,,,,,,3.0
8,,8,,1,60.0,120,,2.0,2.0,2.0,1.0,2.0,3.0
2,120.0,8,,8,,360,,1.0,2.0,2.0,2.0,1.0,3.0
2,160.0,3,180.0,3,180.0,300,,2.0,2.0,2.0,1.0,1.0,2.0
5,300.0,3,180.0,7,2100.0,300,,1.0,1.0,2.0,1.0,1.0,1.0
8,,8,,8,,300,1.0,,,,,,3.0
2,240.0,8,,5,300.0,120,,2.0,2.0,2.0,1.0,1.0,2.0
8,,8,,7,420.0,180,,10.0,1.0,2.0,1.0,2.0,2.0
8,,2,240.0,2,120.0,300,,2.0,1.0,2.0,2.0,1.0,3.0
8,,8,,2,120.0,120,,6.0,2.0,2.0,2.0,1.0,3.0
3,180.0,2,120.0,2,120.0,360,,2.0,2.0,1.0,2.0,1.0,2.0
8,,8,,7,1680.0,180,,9.0,1.0,1.0,1.0,2.0,1.0
8,,8,,5,90.0,180,,9.0,2.0,2.0,1.0,2.0,3.0
6,120.0,2,120.0,8,,9999,,9.0,2.0,2.0,2.0,1.0,2.0
8,,8,,3,30.0,300,,6.0,1.0,2.0,2.0,2.0,3.0
8,,8,,7,420.0,180,,2.0,1.0,1.0,1.0,2.0,2.0
8,,8,,2,180.0,180,,9.0,1.0,2.0,1.0,2.0,3.0
8,,8,,5,300.0,180,,6.0,1.0,1.0,1.0,2.0,2.0
8,,8,,4,240.0,240,,10.0,2.0,2.0,2.0,1.0,3.0
4,180.0,8,,8,,360,,1.0,2.0,2.0,2.0,1.0,2.0
2,240.0,4,120.0,6,120.0,120,,9.0,1.0,1.0,1.0,1.0,2.0
2,60.0,2,90.0,3,90.0,300,,2.0,2.0,1.0,1.0,1.0,2.0
8,,8,,8,,300,8.0,,,,,,3.0
3,180.0,8,,8,,120,,2.0,2.0,1.0,2.0,2.0,2.0
8,,5,390.0,6,120.0,180,,2.0,2.0,1.0,1.0,1.0,2.0
8,,3,60.0,8,,180,,1.0,2.0,2.0,2.0,2.0,3.0
8,,8,,7,540.0,60,,2.0,1.0,1.0,1.0,2.0,2.0
8,,2,180.0,7,300.0,120,,5.0,1.0,2.0,1.0,1.0,2.0
8,,8,,8,,240,1.0,,,,,,3.0
8,,8,,8,,180,1.0,,,,,,3.0
8,,3,180.0,5,300.0,120,,2.0,2.0,1.0,1.0,1.0,2.0
8,,8,,1,30.0,60,,9.0,1.0,2.0,1.0,2.0,3.0
8,,8,,7,130.0,450,,6.0,2.0,2.0,1.0,2.0,3.0
8,,3,120.0,7,140.0,120,,2.0,2.0,2.0,2.0,1.0,2.0
8,,8,,3,270.0,180,,10.0,1.0,2.0,1.0,1.0,3.0
8,,8,,8,,120,1.0,,,,,,3.0
8,,8,,7,540.0,60,,2.0,1.0,1.0,1.0,1.0,2.0
7,1260.0,8,,7,300.0,60,,2.0,2.0,1.0,1.0,1.0,1.0
1,90.0,8,,4,240.0,300,,6.0,2.0,2.0,1.0,2.0,2.0
8,,5,390.0,3,90.0,180,,2.0,2.0,1.0,1.0,1.0,2.0
8,,3,2880.0,7,1200.0,120,,2.0,1.0,1.0,1.0,2.0,1.0
5,390.0,8,,2,120.0,240,,11.0,2.0,2.0,1.0,1.0,1.0
8,,6,720.0,6,2160.0,70,,1.0,2.0,1.0,2.0,2.0,1.0
8,,3,180.0,7,210.0,180,,6.0,1.0,2.0,2.0,2.0,2.0
8,,8,,4,120.0,300,,6.0,1.0,2.0,1.0,2.0,3.0
8,,8,,7,420.0,120,,6.0,2.0,2.0,2.0,1.0,2.0
8,,8,,5,300.0,480,,6.0,2.0,2.0,1.0,1.0,2.0
8,,8,,8,,540,1.0,,,,,,3.0
8,,3,120.0,7,420.0,120,,1.0,2.0,2.0,2.0,2.0,2.0
8,,1,60.0,7,2940.0,120,,2.0,2.0,1.0,1.0,2.0,1.0
4,180.0,4,180.0,4,180.0,60,,2.0,2.0,2.0,1.0,1.0,2.0
4,720.0,2,120.0,7,180.0,480,,1.0,2.0,2.0,1.0,1.0,1.0
8,,8,,8,,240,2.0,,,,,,3.0
8,,8,,7,240.0,240,,1.0,2.0,2.0,2.0,1.0,2.0
8,,8,,1,60.0,180,,6.0,2.0,2.0,2.0,1.0,3.0
8,,4,240.0,4,240.0,360,,1.0,2.0,2.0,2.0,1.0,2.0
8,,8,,5,100.0,240,,10.0,1.0,1.0,1.0,2.0,3.0
8,,8,,7,360.0,300,,10.0,1.0,2.0,1.0,1.0,2.0
8,,8,,7,630.0,600,,9.0,1.0,2.0,1.0,1.0,2.0
8,,8,,5,4800.0,120,,1.0,2.0,2.0,2.0,1.0,2.0
8,,8,,6,180.0,300,,6.0,1.0,2.0,1.0,1.0,2.0
8,,8,,8,,360,1.0,,,,,,3.0
8,,8,,8,,720,5.0,,,,,,3.0
3,360.0,8,,7,420.0,360,,1.0,1.0,2.0,1.0,1.0,1.0
8,,8,,1,60.0,120,,8.0,2.0,2.0,2.0,1.0,3.0
8,,7,2100.0,3,180.0,120,,2.0,2.0,1.0,2.0,1.0,1.0
8,,3,90.0,3,180.0,240,,10.0,2.0,2.0,1.0,1.0,2.0
8,,8,,8,,360,2.0,,,,,,3.0
8,,8,,3,80.0,60,,9.0,1.0,1.0,1.0,2.0,3.0
8,,8,,7,3360.0,60,,9.0,1.0,2.0,1.0,2.0,1.0
8,,3,360.0,7,420.0,150,,1.0,2.0,1.0,1.0,2.0,2.0
8,,8,,5,3000.0,3,,2.0,2.0,1.0,1.0,2.0,2.0
1,60.0,1,60.0,7,420.0,240,,2.0,2.0,1.0,1.0,1.0,2.0
2,120.0,2,120.0,2,120.0,480,,2.0,1.0,2.0,1.0,1.0,2.0
8,,8,,5,50.0,300,,9.0,1.0,2.0,1.0,2.0,3.0
8,,8,,5,300.0,240,,6.0,2.0,2.0,1.0,2.0,2.0
8,,8,,8,,480,1.0,,,,,,3.0
8,,8,,8,,180,1.0,,,,,,3.0
8,,8,,3,360.0,60,,1.0,2.0,2.0,2.0,1.0,3.0
8,,8,,4,120.0,120,,1.0,1.0,2.0,1.0,2.0,3.0
7,120.0,1,60.0,7,90.0,240,,1.0,2.0,2.0,1.0,1.0,2.0
8,,8,,8,,180,9.0,,,,,,3.0
8,,8,,6,120.0,180,,9.0,1.0,2.0,1.0,2.0,3.0
8,,8,,2,120.0,300,,10.0,2.0,2.0,2.0,1.0,3.0
8,,8,,7,90.0,300,,9.0,2.0,1.0,2.0,2.0,3.0
8,,8,,3,90.0,420,,6.0,2.0,2.0,2.0,1.0,3.0
8,,8,,8,,720,8.0,,,,,,3.0
8,,8,,2,240.0,60,,6.0,2.0,2.0,1.0,1.0,3.0
8,,8,,3,90.0,255,,2.0,2.0,2.0,1.0,2.0,3.0
2,180.0,8,,3,180.0,240,,6.0,2.0,2.0,1.0,1.0,2.0
8,,8,,8,,240,5.0,,,,,,3.0
8,,5,1500.0,6,1800.0,480,,2.0,2.0,1.0,1.0,2.0,1.0
8,,8,,8,,780,8.0,,,,,,3.0
